Peter Oppenheimer APPLE INC,Peter Oppenheimer,APPLE INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Maestri APPLE INC,Luca Maestri,APPLE INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Davis APPLIED MATERIALS INC,George Davis,APPLIED MATERIALS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Halliday APPLIED MATERIALS INC,Robert Halliday,APPLIED MATERIALS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Lampereur ACTUANT CORP  -CL A,Andrew Lampereur,ACTUANT CORP  -CL A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas Schmalz ARCHER-DANIELS-MIDLAND CO,Douglas Schmalz,ARCHER-DANIELS-MIDLAND CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Mills ARCHER-DANIELS-MIDLAND CO,Steven Mills,ARCHER-DANIELS-MIDLAND CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Young ARCHER-DANIELS-MIDLAND CO,Ray Young,ARCHER-DANIELS-MIDLAND CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judy McReynolds ARCBEST CORP,Judy McReynolds,ARCBEST CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Newcity ARCBEST CORP,Michael Newcity,ARCBEST CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Cobb ARCBEST CORP,David Cobb,ARCBEST CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Grasberger ARMSTRONG HOLDINGS INC,F. Grasberger,ARMSTRONG HOLDINGS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Reilly ARROW ELECTRONICS INC,Paul Reilly,ARROW ELECTRONICS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Stansbury ARROW ELECTRONICS INC,Christopher Stansbury,ARROW ELECTRONICS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Quin ASHLAND GLOBAL HOLDINGS INC,J. Quin,ASHLAND GLOBAL HOLDINGS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Chambers ASHLAND GLOBAL HOLDINGS INC,Lamar Chambers,ASHLAND GLOBAL HOLDINGS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Willis ASHLAND GLOBAL HOLDINGS INC,John Willis,ASHLAND GLOBAL HOLDINGS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Evans SOUTHERN CO GAS,Andrew Evans,SOUTHERN CO GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Reese SOUTHERN CO GAS,Elizabeth Reese,SOUTHERN CO GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Holland ATWOOD OCEANICS,James Holland,ATWOOD OCEANICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark-Anthony Mey ATWOOD OCEANICS,Mark-Anthony Mey,ATWOOD OCEANICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Smith ATWOOD OCEANICS,Mark Smith,ATWOOD OCEANICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
